Company,Employees,Company Location,Industry,Company URL,Website,LinkedIn URL,Facebook URL,Twitter URL,Descripcion,Technologies
NTT DATA ServiceNow Practice,4.0,"Boston, Massachusetts",Information Technology & Services,https://app.apollo.io/#/organizations/64c6764c14fea500017e362f,,http://www.linkedin.com/company/acorio-llc,,,"NTT DATA delivers real-world business outcomes and promises better experiences with the power of the ServiceNow Platform, so your organization can be a leader in Digital Transformation today. We guide with an agile, personalized, client-first approach -- backed by powerful innovation capabilities you get from the 8th largest Services Provider across the Globe. Our commitment is to our clients, to inspire and guide them for long-term success. They choose NTT DATA for our unparalleled industry knowledge and 600+ successful projects, and hail from Fortune 1000 and Global 2000 organizations in multiple industries ranging from Healthcare, Financial Services, Life Sciences, Manufacturing, Government, Retail, and more. Recognized for outstanding CSAT and innovation, we have exclusive ""Boosts"" to accelerate success. We have dedicated practices in HR, CSM, ITBM, Asset, ITOM, and ITSM, plus a unique focus in user-centric design, KPI's and metrics, and Platform and Business Apps.","Technology Insights Settings
Hubspot
Marketing Automation
Drift
Widgets
Google Cloud Hosting
Hosting
Greenhouse.io
Recruitment
Microsoft Office 365
Other
Outlook
Email Providers
Rackspace MailGun
Email Delivery
SiteGround DNS
Domain Name Services
SolarWinds
Hosting"
Linium Resources,10.0,"New York, New York",Staffing & Recruiting,https://app.apollo.io/#/organizations/5b853ebff874f74f3c0e73bd,http://www.liniumresources.com/,,,,,"Technology Insights Settings
Hubspot
Marketing Automation
Amazon AWS
Hosting
JobDiva
Recruitment
Outlook
Email Providers
Remote
Other"
StyleLearn,9.0,"Orlando, Florida","Higher Education, Professional Training & Coaching,",https://app.apollo.io/#/organizations/5ed57aad71d2dc000108779f,http://www.stylelearn.com/,http://www.linkedin.com/company/stylelearncourses,,,"We are the instructional design firm specializing in eLearning, gamification, storytelling and video editing. Train your staff to succeed with StyleLearn","Technology Insights Settings
Hubspot
Marketing Automation
Apache
Load Balancers
DoubleClick
Ad Servers
Facebook Login (Connect)
Social Login
Facebook Widget
Widgets
Google AdSense
Advertising Networks
Google Font API
Fonts
Google Plus
Social Login
Google Tag Manager
Tag Management
Google translate API
Widgets
Linkedin Login
Social Login
Linkedin Widget
Other
Mobile Friendly
Other
Quantcast
Analytics and Tracking
Reviews
Customer Reviews
Stripe
Payments
Vimeo
Online Video Platforms
WordPress.org
CMS
YouTube
Online Video Platforms"
Foreign Affairs Information Technology Fellowship,10.0,"Washington, District of Columbia",Higher Education,https://app.apollo.io/#/organizations/6161dd3ea9976e0001c0825b,http://www.faitfellowship.org/,http://www.linkedin.com/company/fait-fellowship,,,"Foreign Affairs Information Technology Fellowship, funded by the U.S. Dept of State, aims to promote diversity and attract top tech talent.","Technology Insights Settings
Hubspot
Marketing Automation
Bootstrap Framework
CSS and JavaScript Libraries
DNS Made Easy
Domain Name Services
Gmail
Email Providers
Google Apps
Other
Google Cloud Hosting
Hosting
Google Tag Manager
Tag Management
Mobile Friendly
Other
Nginx
Load Balancers
WordPress.org
CMS"
Careful Security,3.0,"Los Angeles, California",Computer & Network Security,https://app.apollo.io/#/organizations/5edaaada38893b000158ec08,http://www.carefulsecurity.com/,http://www.linkedin.com/company/carefulsecurity,,,,"Technology Insights Settings
Hubspot
Marketing Automation
AI
Other
Basis
Advertising Networks
Content.ad
Content Syndication Networks
Domo
Business Intelligence
Google Font API
Fonts
Google Tag Manager
Tag Management
Helpscout
Support and Feedback
KNIME
Analytics and Tracking
Linkedin Marketing Solutions
Advertising Networks
Micro
Other
Mobile Friendly
Other
Outlook
Email Providers
Quantcast
Analytics and Tracking
Remote
Other
Reviews
Customer Reviews
SendInBlue
Email Marketing
ShareASale
Affiliate Advertising Network
SharePoint
CMS
Sisense
Analytics and Tracking
Splunk
Analytics and Tracking
WordPress.org
CMS
YouTube
Online Video Platforms
reCAPTCHA
Captcha"
Prior Authorization | PACS - ACMA,4.0,"Oradell, New Jersey",Hospital & Health Care,https://app.apollo.io/#/organizations/5e55b776f77548000178d1b3,http://www.priorauthtraining.org/,http://www.linkedin.com/company/international-board-of-prior-authorization-specialists,https://www.facebook.com/National-Board-of-Prior-Authorization-Specialists-100510774628121/,https://twitter.com/NBPAS_PACS,,"Technology Insights Settings
Hubspot
Marketing Automation
AI
Other
Apache
Load Balancers
Bootstrap Framework
CSS and JavaScript Libraries
CrazyEgg
Analytics and Tracking
Facebook Custom Audiences
Retargeting
Facebook Login (Connect)
Social Login
Facebook Widget
Widgets
Google Font API
Fonts
Google Tag Manager
Tag Management
Mobile Friendly
Other
Pure Chat
Chats
Reviews
Customer Reviews
WordPress.org
CMS
YouTube
Online Video Platforms"
OPSWAT Academy,6.0,"Tampa, Florida",E-learning,https://app.apollo.io/#/organizations/64b7addf17bcd80001298c57,http://www.opswatacademy.com/,http://www.linkedin.com/company/opswat-academy,https://www.facebook.com/OPSWAT,https://twitter.com/opswat,"Enhance your critical infrastructure cybersecurity with OPSWAT's next-gen solutions, products, & technologies designed to protect the world. OPSWAT Academy is a global leader in critical infrastructure cybersecurity training. OPSWAT Academy develops a highly skilled workforce ready to overcome the growing cyber threats through industry-ready training and certifications. All 16 critical infrastructure sectors are increasingly at high risk of cyberattacks, yet tens of thousands of mission-critical jobs remain vacant. The OPSWAT Academy was developed to address the CIP cybersecurity skills shortage through courses that promote the best practices and practical approaches successfully implemented in the most secure critical infrastructure environments. For current OPSWAT customers, the Academy also includes advanced training courses for managing OPSWAT products.","Technology Insights Settings
Hubspot
Marketing Automation
Salesforce
Customer Relationship Management
AddThis
Social Sharing
Amazon AWS
Hosting
Amazon CloudFront
Content Delivery Networks
Amazon SES
Email Delivery
Android
Frameworks and Programming Languages
Atlassian Cloud
CMS
Basis
Advertising Networks
Bing Ads
Advertising Networks
Bootstrap Framework
CSS and JavaScript Libraries
Circle
Financial Software
CloudFlare Hosting
Hosting
Cloudflare DNS
Domain Name Services
Disqus
Comments
DoubleClick
Ad Servers
DoubleClick Conversion
Advertising Networks
Drift
Widgets
Dropbox
Cloud Services
Facebook Custom Audiences
Retargeting
Facebook Login (Connect)
Social Login
Facebook Widget
Widgets
Google AdSense
Advertising Networks
Google AdWords Conversion
Advertising Networks
Google Analytics
Analytics and Tracking
Google Dynamic Remarketing
Retargeting
Google Font API
Fonts
Google Play
Widgets
Google Tag Manager
Tag Management
Greenhouse.io
Recruitment
Gunicorn
Load Balancers
Hotjar
Analytics and Tracking
IoT
Other
Linkedin Marketing Solutions
Advertising Networks
Microsoft Office 365
Other
Mixpanel
Analytics and Tracking
Mobile Friendly
Other
NSOne
Domain Name Services
Nginx
Load Balancers
Outlook
Email Providers
Python
Frameworks and Programming Languages
React Native
Frameworks and Programming Languages
Remote
Other
Render
Other
Route 53
Domain Name Services
Ruby On Rails
Frameworks and Programming Languages
SAP
Customer Relationship Management
Salesforce Live Agent
Chats
Salesforce Service Cloud
Analytics and Tracking
Segment.io
Analytics and Tracking
Semrush
Other
Sendgrid
Email Delivery
StackAdapt
Advertising Networks
StatusPage IO
Web Performance Monitoring
Stripe
Payments
Teachable
CMS
The Trade Desk
Demand Side Platforms
Twitter Advertising
Advertising Networks
Vimeo
Online Video Platforms
Visual Website Optimizer
Online Testing Platforms
Wistia
Online Video Platforms
WordPress.org
CMS
Zscaler
Security
iTunes
Widgets"
Newhouse School Online,8.0,"Syracuse, New York",Higher Education,https://app.apollo.io/#/organizations/5ed5c2c166e4bd0001d249ab,,http://www.linkedin.com/company/communications-syracuse,,,"The Newhouse School Online programs offers students around the world the chance to earn a degree from the world-renowned S.I. Newhouse School of Public Communications at Syracuse University. The online M.S. in Communications is designed to prepare the next generation of media professionals with a foundation in topics affecting the field today, such as multimedia storytelling, digital communications systems and emerging media platforms. The M.S. in Communications Management program is for experienced professionals and prepares students to effectively manage communications strategy for their organization through a holistic curriculum that blends communications, business management and leadership courses. ""Online"" does not mean ""apart"". Even though classes are online, you will still feel connected to our faculty and each and every classmate you meet along the way through live classes and online coursework. We encourage you to share your comments, questions, and thoughts. You can also follow us @SyracuseComm. This page is managed by the Newhouse School Online communications staff. Any posts containing inappropriate content, including profanity, impolite remarks, or unofficial promotions will be removed and are subject to the discretion of the Newhouse School Online and Newhouse School staff.","Technology Insights Settings
Hubspot
Marketing Automation
ASP.NET
Frameworks and Programming Languages
AddThis
Social Sharing
Adobe Coldfusion
CMS
Apache
Load Balancers
Blackboard LMS
Education Management Software
Bootstrap Framework
CSS and JavaScript Libraries
CrazyEgg
Analytics and Tracking
Drupal
CMS
Ektron
CMS
ExactTarget
Email Marketing
Facebook Custom Audiences
Retargeting
Facebook Like Button
Social Sharing
Facebook Login (Connect)
Social Login
Facebook Widget
Widgets
Google Analytics
Analytics and Tracking
Google Font API
Fonts
Google Maps
Other
Google Maps (Non Paid Users)
Other
Google Plus
Social Login
Google Tag Manager
Tag Management
Google translate API
Widgets
Google translate widget
Widgets
Gravity Forms
Hosted Forms
Kaltura
Online Video Platforms
Linkedin Login
Social Login
Linkedin Widget
Other
Microsoft Office 365
Other
Microsoft-IIS
Load Balancers
Mobile Friendly
Other
New Relic
Web Performance Monitoring
Nginx
Load Balancers
OpenSSL
SSL Certificates
Optimizely
Online Testing Platforms
Outlook
Email Providers
Piwik
Analytics and Tracking
Taboola
Content Syndication Networks
Typekit
Fonts
Ubuntu
Load Balancers
Varnish
Load Balancers
VueJS
CSS and JavaScript Libraries
WordPress.org
CMS
YouTube
Online Video Platforms
jPlayer
Online Video Platforms
reCAPTCHA
Captcha"
DBusiness Magazine,7.0,"Troy, Michigan",Media Production,https://app.apollo.io/#/organizations/556d88bc736964123d862801,http://www.dbusiness.com/,http://www.linkedin.com/company/dbusiness-magazine,https://www.facebook.com/DBusinessMagazine/,https://twitter.com/dbusiness,"DBusiness Magazine – Detroit’s Premier Business Journal. Providing daily news and in-depth coverage of the business climate in southeast Michigan. DBusiness is Detroit's premier business journal, and is part of the Hour Media family of publications. DBusiness currently has more than 31,000 subscribers and is sold at over 300 local news stands. Issues can be found at one of these locations, upscale area hotels, suites at The Palace of Auburn Hills and Ford Field and four Delta Skyline Clubs at Detroit Metropolitan Airport. For subscription information and a wide range of DBusiness features, visit www.dbusiness.com.","Technology Insights Settings
Hubspot
Marketing Automation
33Across
Demand Side Platforms
Adobe Media Optimizer
Search Marketing
Amadesa
Personalization
Amazon Associates
Affiliate Advertising Network
AppNexus
Demand Side Platforms
Cedexis Radar
Web Performance Monitoring
Conversant (ValueClick)
Advertising Networks
Criteo
Retargeting
Cvent
Event Management
Disqus
Comments
Dotomi
Retargeting
DoubleClick
Ad Servers
Eventbrite
Event Management
Facebook Comments
Comments
Facebook Custom Audiences
Retargeting
Facebook Like Button
Social Sharing
Facebook Login (Connect)
Social Login
Facebook Widget
Widgets
Flashtalking
Advertising Networks
Google AdSense
Advertising Networks
Google Analytics
Analytics and Tracking
Google Font API
Fonts
Google Play
Widgets
Google Tag Manager
Tag Management
Gravity Forms
Hosted Forms
Gumgum
Advertising Networks
Infolinks
Advertising Networks
Integral Ad Science
Advertising Networks
Jotform
Hosted Forms
Lotame
Data Management Platform
Media.net
Publisher Advertising Tools
Microsoft Office 365
Other
Moat
Advertising Networks
Mobile Friendly
Other
Nginx
Load Balancers
OpenX - Exchange
Publisher Advertising Tools
Outlook
Email Providers
PubMatic
Supply Side Platforms
Quantcast
Analytics and Tracking
RTB House
Retargeting
Remote
Other
Rubicon Project
Supply Side Platforms
Sailthru
Personalization
Sharethrough
Publisher Advertising Tools
SiteScout
Advertising Networks
Sizmek (MediaMind)
Ad Servers
Sovrn
Publisher Advertising Tools
Teads
Video Advertising Networks
The Trade Desk
Demand Side Platforms
TikTok
Other
Turn
Demand Side Platforms
Typekit
Fonts
Unruly Media
Video Advertising Networks
Vimeo
Online Video Platforms
Woo Commerce
E-commerce Platforms
WordPress.org
CMS
Yahoo Analytics
Analytics and Tracking
YouTube
Online Video Platforms
greyscale - grey
Other
iTunes
Widgets
reCAPTCHA
Captcha"
Zync,8.0,"Bellevue, Washington",Information Technology & Services,https://app.apollo.io/#/organizations/60f7e37f7a167c0001431520,http://www.zync.ai/,http://www.linkedin.com/company/zyncmeet,,,"Zync manages show creation, production, and AI clips, providing a wealth of marketing content for socials, email, and more. Zync helps you launch and manage talkshows that fuels business growth. Each episode produces content that fuels your marketing channels - impactful social media posts, podcasts and SEO-optimized websites and authentic short form videos. Zync handles it all - from providing a branded virtual studio to managing speakers, scheduling, and preparing for an engaging show. Businesses launching Talkshows see a boost in brand engagement and a 40% rise in effective networking and sales opportunities.","Technology Insights Settings
Hubspot
Marketing Automation
AI
Other
Amazon AWS
Hosting
Facebook Custom Audiences
Retargeting
Facebook Login (Connect)
Social Login
Facebook Widget
Widgets
Gmail
Email Providers
Google Apps
Other
Google Tag Manager
Tag Management
Grafana
Analytics and Tracking
Mixpanel
Analytics and Tracking
Mobile Friendly
Other
React Redux
CSS and JavaScript Libraries
SendInBlue
Email Marketing
Webflow
CMS
YouTube
Online Video Platforms"
Medical Product Outsourcing,6.0,"Montvale, New Jersey",Media Production,https://app.apollo.io/#/organizations/57c4bad3a6da98372d4af062,http://www.mpo-mag.com/,http://www.linkedin.com/company/medical-product-outsourcing,https://www.facebook.com/pages/Medical-Product-Outsourcing/105425076171700,https://twitter.com/mpomagazine,"A comprehensive listing of companies, products and services for medical device manufacturers. Medical Product Outsourcing is the only global magazine dedicated to the growing trend of medical device outsource manufacturing. Our in-depth coverage includes comprehensive feature articles, industry news, trends, and other developments pertinent to the medical device industry and contract manufacturer-OEM relationship. Every year, The MPO Summit hosts industry professionals to discuss pertinent matters in the world of medtech, find more information at mposummit.com.","Technology Insights Settings
Hubspot
Marketing Automation
33Across
Demand Side Platforms
Ad Unit 300 x 250
Other
Ad Unit 300 x 600
Other
Ad Unit 728 x 90
Other
AdRoll
Retargeting
Apache
Load Balancers
Brightcove
Online Video Platforms
DoubleClick
Ad Servers
Eventbrite
Event Management
Facebook Login (Connect)
Social Login
Facebook Widget
Widgets
Google AdSense
Advertising Networks
Google Font API
Fonts
Google Maps
Other
Google Maps (Non Paid Users)
Other
Google Tag Manager
Tag Management
Linkedin Marketing Solutions
Advertising Networks
MailChimp
Email Marketing
Microsoft Office 365
Other
Mobile Friendly
Other
OpenSSL
SSL Certificates
RackSpace DNS
Domain Name Services
Rackspace
Hosting
Remote
Other
ShareThis
Social Sharing
Silverpop
Email Marketing
Vimeo
Online Video Platforms
Zencoder
Other
reCAPTCHA
Captcha"
AlediumHR,6.0,"Tampa, Florida","Staffing & Recruiting, Management Consulting,",https://app.apollo.io/#/organizations/55ef911ef3e5bb3be8001560,http://www.alediumhr.com/,http://www.linkedin.com/company/aledium,https://www.facebook.com/alediumhr/,https://twitter.com/AlediumHR,"Premier Healthcare Recruiting Firm: Expertise in Clinical, Non-Clincal, Telehealth, Behavioral, Allied, Health Tech, Academic, Pharmaceutical, and Biomedical Sectors AlediumHR is the leader in healthcare recruitment innovation, matching qualified candidates for direct-hire positions in clinical and non-clinical roles throughout the United States and Canada. In addition, AlediumHR has been actively recruiting in the telehealth sector since 2013, long before Covid. With over a decade of experience and a proven track record, we understand the unique challenges that healthcare recruiting presents in the post-Covid era. Trust AlediumHR to help you navigate the ever-increasing demand for healthcare professionals to ensure your organization's recruiting success.","Technology Insights Settings
Hubspot
Marketing Automation
AI
Other
Amazon AWS
Hosting
Apache
Load Balancers
Basis
Advertising Networks
Bullhorn
Recruitment
Circle
Financial Software
Domo
Business Intelligence
Google Cloud Hosting
Hosting
Google Font API
Fonts
Google Tag Manager
Tag Management
Gravity Forms
Hosted Forms
KNIME
Analytics and Tracking
Microsoft Office 365
Other
Mobile Friendly
Other
Outlook
Email Providers
Python
Frameworks and Programming Languages
Remote
Other
SAP
Customer Relationship Management
Shutterstock
Other
Sisense
Analytics and Tracking
Splunk
Analytics and Tracking
WordPress.org
CMS
Zoho Creator
Other
Zoho One
Cloud Services"
