Company,Employees,Company Location,Industry,Company URL,Descripcion,Technologies,Website,LinkedIn URL,Facebook URL,Twitter URL
'the boundless group' LLC,4.0,"Lithia, Florida",Information Technology & Services,https://app.apollo.io/#/organizations/5e55df88090c4d0001f1d6d0,"The Boundless Group is a certified, woman-owned-and-managed company which embodies a team of professional, skilled and proficient individuals. At The Boundless Group our mission statement is – ‘Purposeful input delivers favorable outcome'. In other words, we believe that hard work delivers a great product/service, and that's what we do. We offer the best solution to your business needs. We have many skills not limited to a boutique consulting firm.","Technology Insights Settings
Hubspot
Marketing Automation
Bootstrap Framework
CSS and JavaScript Libraries
GoDaddy Hosting
Hosting
Google Font API
Fonts
Google Tag Manager
Tag Management
Gravity Forms
Hosted Forms
Mobile Friendly
Other
Outlook
Email Providers
Varnish
Load Balancers
WordPress.org
CMS
reCAPTCHA
Captcha",http://www.theboundlessgroup.com/,http://www.linkedin.com/company/the-boundless-group-llc,,
( plated )™ Skin Science,4.0,"Rochester, Minnesota","Health, Wellness & Fitness",https://app.apollo.io/#/organizations/6417d6dd656a0100013c86ee,"Platelet-derived Exosomes are now available in serums, thanks to ( plated )™ 's proprietary Renewosome™ technology. Experience results as soon as 6 weeks! Click to review our science, read reviews, & order online today!","Technology Insights Settings
Hubspot
Marketing Automation
Basis
Advertising Networks
Constant Contact
Email Marketing
Facebook Custom Audiences
Retargeting
Facebook Login (Connect)
Social Login
Facebook Widget
Widgets
Google Analytics
Analytics and Tracking
Google Font API
Fonts
Google Tag Manager
Tag Management
JQuery 1.11.1
CSS and JavaScript Libraries
Klaviyo
Email Marketing
Microsoft Office 365
Other
Mobile Friendly
Other
Outlook
Email Providers
Paypal
Payments
Sendgrid
Email Delivery
ShareASale
Affiliate Advertising Network
Shopify
E-commerce Platforms
Shopify Plus
E-commerce Platforms
Shopify Product Reviews
E-commerce Platforms
TikTok
Other
YouTube
Online Video Platforms",http://www.platedskinscience.com/,http://www.linkedin.com/company/plated-skin-science,,
(MVF) Mountain View Farmacy LLC,1.0,"West Milford, New Jersey",Retail,https://app.apollo.io/#/organizations/65a6f6b19e35b10302d01ec7,Mountain View Farmacy is a new frontier and innovative way for New Jersey residents to receive the quality cannabis they both seek & deserve. We are utilizing cutting-edge technology with regard to customer service and high-quality products.  Our goal is to make your everyday purchase with us a unique and memorable experience.  Customer service and quality products go hand-in-hand as we start to build our brand.,"Technology Insights Settings
Hubspot
Marketing Automation
AI
Other
Google Font API
Fonts
Google Maps
Other
Google Maps (Non Paid Users)
Other
Google Tag Manager
Tag Management
Gravity Forms
Hosted Forms
Mobile Friendly
Other
Nginx
Load Balancers
Outlook
Email Providers
PubNub
Content Delivery Networks
Render
Other
Reviews
Customer Reviews
Woo Commerce
E-commerce Platforms
WordPress.org
CMS",http://www.mvf.earth/,http://www.linkedin.com/company/mvfnj,,
"(R)EVOLVE Consulting, Inc.",2.0,"San Diego, California","Professional Training & Coaching,",https://app.apollo.io/#/organizations/615ea1a9d9eab400014e7806,"Diversity and inclusion firm. Specialize in curriculum, training, and strategic planning to building more respectful and inclusive workspaces, schools, and communities. (R)EVOLVE Consulting. At (R)EVOLVE, we are Belonging Conservationists. We help your organization… Promote conditions where everyone can feel valued, humanized, & respected. Identify and mitigate threats like biases, habits, systems that perpetuate inequity, getting caught up in the everyday demands of our work, etc. Propel people toward actions that nourish and sustain a culture of belonging. We accomplish this by helping organizations: Build group cohesion Attract and Retain the best talent Enhance morale and inclusion Increase team capacity and productivity","Technology Insights Settings
Hubspot
Marketing Automation
Domo
Business Intelligence
DoubleClick
Ad Servers
DoubleClick Conversion
Advertising Networks
Gmail
Email Providers
Google Apps
Other
Google Dynamic Remarketing
Retargeting
Google Tag Manager
Tag Management
Mobile Friendly
Other
Shutterstock
Other
Sisense
Analytics and Tracking
Splunk
Analytics and Tracking
Squarespace ECommerce
E-commerce Platforms
Typekit
Fonts
YouTube
Online Video Platforms",http://www.revolveconsulting.com/,http://www.linkedin.com/company/wearerevolveconsulting,,
(TCSS) The Center Staffing Services,3.0,"Denver, Colorado","Staffing & Recruiting, Management Consulting",https://app.apollo.io/#/organizations/5f46bdf02357d000018fa637,"The Center Staffing Services brings refinement to the staffing industry by delivering agile recruitment and human resources solutions that fit immediate and future business needs. TCSS is a National HR, Staffing, and Business Solutions firm. Currently providing ancillary staffing and consulting solutions for permanent and contingent workforces such as vendor-on-premise (VOP), outsourcing relationships, training & compliance, full-time, part-time, contract and event staff for SMB and Enterprise businesses such as Avendra, HCA Health, Centura Health, UPS, Cirque Du Soleil, P&G, Disney, Disney Parks, Sodexo, Aramark, ASM Global, Chi St Lukes Health and more... -Currently trusted by more than 52,000+ client sites. Compared to industry averages, TCSS' results speak for themselves: 1.) 125% higher interview rate 2.) 60% better fill-rate 3.) 40% lower bill-rate 4.) 3X lower attrition rate 5. 3X faster time-to-present 6. 2X faster time-to-fill and onboarding Current States Servicing: - (W-2 employees) ALL 50 states and Washington D.C. -Puerto Rico and Guam in 2024 Canada 2024/2025 Industries we Service: Food Service, Casinos & Resorts, Food Production, Light/Heavy Industrial, Warehouse, Food Distribution, Facility Management, Healthcare (Clinical and Clerical), Manufacturing, Professional, Office/Clerical, Finance & Accounting, Aviation, Information Technology and Telecommunications VMS Capabilities: SAP Fieldglass, IQNavigator, BeeLine, VectorVMS, iLabor360, Procurewise, StafferLink, and PeopleFluent Current MSP Program Partners: Monument Consulting, PeopleScout, Adecco, TAPFIN (Manpower), Randstad SourceRight, Allegis Global Solutions, RightSourcing, NextSource and Pantoon Time to Fill (TTF) Metrics -- (Time between initial application and submission to client): Hourly/Blue Collar Workers: Rolling Average of 6.7 days* Professional/White Collar Roles: Rolling Average of 14.4 days* *Results not guaranteed for every role Since 2019, we've accumulated over 1,000,000+ labor hours with our service providers for enterprise and SMB clients.","Technology Insights Settings
Hubspot
Marketing Automation
Android
Frameworks and Programming Languages
CloudFlare Hosting
Hosting
Cloudflare DNS
Domain Name Services
Gmail
Email Providers
Google Apps
Other
Google Tag Manager
Tag Management
Mobile Friendly
Other
Rackspace MailGun
Email Delivery
Remote
Other
Varnish
Load Balancers
Wix
CMS
WordPress.org
CMS
reCAPTCHA
Captcha",http://www.thecenterstaffingservices.com/,http://www.linkedin.com/company/the-center-staffing-service,,
(X)Form [Strategy + Execution],10.0,"New York, New York",Management Consulting,https://app.apollo.io/#/organizations/5eac3b8b82897d00c2684433,"(X)form helps ambitious companies solve $10+ million problems by refining strategy & execution. We partner with individual execs or entire organizations. The approach takes the most valuable aspects of consulting and coaching to solve for what each lacks individually, and leverages a commercial model similar to a technology subscription.","Technology Insights Settings
Hubspot
Marketing Automation
AI
Other
Android
Frameworks and Programming Languages
Circle
Financial Software
DoubleClick
Ad Servers
DoubleClick Conversion
Advertising Networks
Facebook Custom Audiences
Retargeting
Facebook Login (Connect)
Social Login
Facebook Widget
Widgets
Gmail
Email Providers
Google Analytics
Analytics and Tracking
Google Apps
Other
Google Cloud Hosting
Hosting
Google Dynamic Remarketing
Retargeting
Google Tag Manager
Tag Management
Mobile Friendly
Other
Remote
Other
Render
Other
Varnish
Load Balancers
Vimeo
Online Video Platforms
Wix
CMS",http://www.xform.cc/,http://www.linkedin.com/company/x-form-cc,,
(defun ai ()),3.0,"Waynesville, Ohio","Information Technology & Services,",https://app.apollo.io/#/organizations/65140c52bff11200a3ff2cc4,"Revolutionize software development with our groundbreaking generative AI technology. Create complex software effortlessly using natural language input. Create complex software from natural language with Conjure's groundbreaking approach to generative AI. * AI-Powered Development: Software development is as easy as speaking your mind. * Cost-Efficiency & Speed: Virtual AI agents (autonomous processes) turn your vision into reality, faster and more affordably than any human team. * Zero Expertise Needed: Just describe what you want in natural language and let Conjure handle the rest.","Technology Insights Settings
Hubspot
Marketing Automation
Mobile Friendly
Other
YouTube
Online Video Platforms",http://www.defun.ai/,http://www.linkedin.com/company/defun-ai,,
(ix)plore Lab,3.0,"Austin, Texas",Government Administration,https://app.apollo.io/#/organizations/66332a6d9a5b9100060ef274,"""Learn by living."" (ix)plore Lab creates soft skills training customized to provide the tools you need at every step of the journey. We design customized, highly interactive learning experiences that teach a variety of communication and stress management skills, and simulation training that mirrors real-world encounters. Our goal is to develop tools and techniques that are simple, fun, and effective and to share them with you so that you can stress less, play more, and work better. Our programs can complement your existing training or stand on their own.","Technology Insights Settings
Hubspot
Marketing Automation
Amazon AWS
Hosting
Gmail
Email Providers
Google Apps
Other
Google Font API
Fonts
Mobile Friendly
Other
Remote
Other
Stripe
Payments
Varnish
Load Balancers
Woo Commerce
E-commerce Platforms
WordPress.org
CMS
YouTube
Online Video Platforms",http://www.ixplorelab.com/,http://www.linkedin.com/company/ixplore-lab,,
(matter),7.0,"Cincinnati, Ohio",Marketing & Advertising,https://app.apollo.io/#/organizations/57c4cf23a6da986a2f6fbb26,"(matter) is a design and branding agency. Your brand matters, let us make it matter more! Check out our services, expertise and portfolio. We are an independent, award-winning graphic design and branding agency. We put design, research-driven strategy, and the customer at the center of everything we do. Part of Leap Group.","Technology Insights Settings
Hubspot
Marketing Automation
AI
Other
Apache
Load Balancers
Basis
Advertising Networks
DoubleClick
Ad Servers
DoubleClick Conversion
Advertising Networks
Google Analytics
Analytics and Tracking
Google Dynamic Remarketing
Retargeting
Google Tag Manager
Tag Management
Linkedin Marketing Solutions
Advertising Networks
Mobile Friendly
Other
Outlook
Email Providers
Remote
Other
Render
Other
Typekit
Fonts
WordPress.org
CMS
ZoomInfo
Business Intelligence",http://www.leapmatter.com/,http://www.linkedin.com/company/leapmatter,,https://twitter.com/leapmatter
(un)conventional,5.0,"Miami, Florida",Management Consulting,https://app.apollo.io/#/organizations/5e55e812f0e6c0000185eedf,"(un)conventional supports early-stage Startup Founders through free education, tailored resources, and 1-on-1 coaching. At (un)conventional, we redefine startup coaching by guiding founders from initial idea to Series A funding. Our platform offers tailored coaching, extensive educational resources, and free digital education, enabling entrepreneurs to successfully maneuver through the complexities of the startup ecosystem. We have empowered +1,000 founders and facilitated the launch of numerous innovative solutions, supporting the raise of +$13 million in capital. Their services are designed to help startups validate business ideas, get to market quickly, and tackle any fundraising needs.","Technology Insights Settings
Hubspot
Marketing Automation
AI
Other
Amazon AWS
Hosting
Android
Frameworks and Programming Languages
Apache
Load Balancers
Basis
Advertising Networks
Bootstrap Framework
CSS and JavaScript Libraries
Facebook Custom Audiences
Retargeting
Facebook Login (Connect)
Social Login
Facebook Widget
Widgets
Flutter
Frameworks and Programming Languages
Gmail
Email Providers
Google Apps
Other
Google Font API
Fonts
Google Tag Manager
Tag Management
Hotjar
Analytics and Tracking
IoT
Other
Mobile Friendly
Other
Phoenix
Frameworks and Programming Languages
Python
Frameworks and Programming Languages
Remote
Other
Stripe
Payments
Webflow
CMS
WordPress.org
CMS
reCAPTCHA
Captcha",http://www.unconventional.tech/,http://www.linkedin.com/company/unconventionalventures,,https://twitter.com/a_a_ronchavez
.,8.0,"Delaware, US",Music,https://app.apollo.io/#/organizations/5f4aaa27b9bfc50001a97c31,No tiene Descripcion,"Technology Insights Settings
Hubspot
Marketing Automation
Google Tag Manager
Tag Management
Mobile Friendly
Other
Nginx
Load Balancers",,http://www.linkedin.com/company/gogas,,
.dodocs ai,3.0,"Sheridan, Wyoming","Information Technology & Services,",https://app.apollo.io/#/organizations/64a3bf630d93bd00a3f170d2,".dodocs AI - is a data, document processing and user interactions automation developer tools with the core of LLM that trained to draft / edit / fill out / summarize documents. DoDocs integrates to your services and could automize client supper with our chatbot, automize questionary, turning video calls transcription into documents and other. Introducing Dodocs.ai, the ultimate platform designed to effortlessly draft any type of document. Whether you're an individual, a business, or an enterprise, Dodocs.ai is here to revolutionize the way legal documents are created. No more wasting time searching for the right content. Dodocs.ai uses generative AI to swiftly generate personalized and up-to-date legal documents. Instantly customize contracts, agreements, and more to suit your unique needs, industry, or location. With dodocs.ai as your AI co-pilot, you'll experience real-time support during every step of the process. Say goodbye to complex legal jargon and hello to streamlined document creation. Embrace the power of Dodocs.ai and elevate your legal document drafting experience to a whole new level.","Technology Insights Settings
Hubspot
Marketing Automation
AI
Other
Google Tag Manager
Tag Management
Linkedin Marketing Solutions
Advertising Networks
Microsoft Azure Hosting
Hosting
Mobile Friendly
Other
Nginx
Load Balancers
Reviews
Customer Reviews",,http://www.linkedin.com/company/dodocsai,,
.inc Domains,10.0,"New York, New York",,https://app.apollo.io/#/organizations/5e5807147defa50001cf8844,"Unlock Success with Premium Business Domains from .inc | Elevate Your Brand, Secure Your Identity, and Get Started Today! .inc means business. Millions of company names end with ""Inc."". Now your domain name can too! Show the world you mean business with a .inc domain: get.inc. Companies across any industry around the world can use .inc domains for anything - from corporate sites to newsrooms, investor relations pages, employee portals, and more. As a premium domain ending, .inc aims to eliminate cybersquatting – empowering businesses to purchase the domain you want, when you want it. Save time and money by avoiding pre-owned domains and private sellers entirely.","Technology Insights Settings
Hubspot
Marketing Automation
Salesforce
Customer Relationship Management
AI
Other
Active Campaign
Marketing Automation
Adobe Media Optimizer
Search Marketing
Amazon AWS
Hosting
Android
Frameworks and Programming Languages
Basis
Advertising Networks
Bing Ads
Advertising Networks
Cedexis Radar
Web Performance Monitoring
Circle
Financial Software
DoubleClick
Ad Servers
DoubleClick Conversion
Advertising Networks
Facebook Custom Audiences
Retargeting
Facebook Login (Connect)
Social Login
Facebook Widget
Widgets
Google Analytics
Analytics and Tracking
Google Dynamic Remarketing
Retargeting
Google Tag Manager
Tag Management
Hotjar
Analytics and Tracking
Linkedin Marketing Solutions
Advertising Networks
MailChimp SPF
Other
Mapbox
Other
Microsoft Office 365
Other
Mobile Friendly
Other
OVH
Hosting
Outlook
Email Providers
Remote
Other
Segment.io
Analytics and Tracking
SharePoint
CMS
Typekit
Fonts
Vimeo
Online Video Platforms
Webflow
CMS
Wistia
Online Video Platforms
ZoomInfo
Business Intelligence
reCAPTCHA
Captcha",http://www.get.inc/,http://www.linkedin.com/company/getdotinc,https://www.facebook.com/getdotinc,https://twitter.com/getdotinc
0-Downtime,2.0,"Plainsboro Township, New Jersey",Information Technology & Services,https://app.apollo.io/#/organizations/5dfdbaae4c9acc00d42c3af2,"As Advanced AWS Partners, 0-Downtime has the know-how and resources to help businesses of all sizes navigate the cloud successfully. Our end-to-end services extend across the various cloud layers – from Business Process as a Service, Software as a Service, and Platform as a Service to Infrastructure as a Service – and include strategy, system integration, engineering, application development and infrastructure. Call us today and help us educate you on how the cloud can be the most valuable investment you will make for your business!","Technology Insights Settings
Hubspot
Marketing Automation
Amazon AWS
Hosting
Amazon SES
Email Delivery
Apache
Load Balancers
Google Font API
Fonts
Google Tag Manager
Tag Management
Microsoft Office 365
Other
Microsoft Sql Server
Data Management Platform
Mobile Friendly
Other
Outlook
Email Providers
React
CSS and JavaScript Libraries
Route 53
Domain Name Services
WordPress.org
CMS
reCAPTCHA
Captcha",http://www.0-downtime.com/,http://www.linkedin.com/company/0downtime,https://www.facebook.com/downtime,https://twitter.com/downtime
00 Studios,5.0,"Los Angeles, California","Information Technology & Services,",https://app.apollo.io/#/organizations/54a1274c69702d90a265a600,"Located in the heart of Los Angeles, California. 00 Studios is one of the fastest growing web design and digital media studios in Southern California. Founded in 2012 by tech visionary and entrepreneur Christopher Shifflett. Christopher's dream was to create a creative web design company that not only helps businesses and professionals better communicate their brand to the general public but also help expand and grow that brand through cutting edge web design technologies and creative IT solutions. ""00 Studios mission is to bring small business back to America by helping businesses develop there own BI (Business Information) through IT solutions and cutting edge web design. ""","Technology Insights Settings
Hubspot
Marketing Automation
Amazon AWS
Hosting
CloudFlare Hosting
Hosting
Cloudflare DNS
Domain Name Services
Cloudinary
Cloud Services
DigitalOcean
Hosting
Gmail
Email Providers
Google Apps
Other
Google Cloud Hosting
Hosting
Google Tag Manager
Tag Management
Microsoft Office 365
Other
Mobile Friendly
Other
Outlook
Email Providers
Pardot
Marketing Automation
VueJS
CSS and JavaScript Libraries
Zendesk
Support and Feedback",,http://www.linkedin.com/company/00-studios,,
032 Outsourcing,9.0,"Richardson, Texas",Outsourcing/offshoring,https://app.apollo.io/#/organizations/5fca3d1ba50ee70001443e98,"Passionate in Creating Opportunities Think remote staffing partner. At 032 Outsourcing we work with you to clearly define the skillset and personality needed to function within the organization. We handle all of the recruitment and hiring, only presenting you with qualified candidates. Once we find a perfect match, we take care of the onboarding and emersion process. Leaving you with more time and energy to focus on your business strategy. When working with anyone from 032 Outsourcing, you are ensured with customer satisfaction throughout the life of employment. See our outsourcing partner: https://www.linkedin.com/company/open-look-business-solutions/","Technology Insights Settings
Hubspot
Marketing Automation
DoubleClick
Ad Servers
Facebook Login (Connect)
Social Login
Facebook Widget
Widgets
Google AdSense
Advertising Networks
Google Analytics
Analytics and Tracking
Google Font API
Fonts
Google Tag Manager
Tag Management
Microsoft Office 365
Other
Mobile Friendly
Other
Outlook
Email Providers
Render
Other
Stripe
Payments
WordPress.org
CMS
YouTube
Online Video Platforms",http://www.032outsourcing.com/,http://www.linkedin.com/company/032-outsourcing,https://www.facebook.com/032Outsourcing,
041 Digital Agency,2.0,"Las Vegas, Nevada","Information Technology & Services,",https://app.apollo.io/#/organizations/62eb60080e5865000171d083,"Get everything you need from a digital agency and grow your digital revenues with our services today. Are you looking for a Digital Agency that will rank your services and products, or to bring your digital dream to life?","Technology Insights Settings
Hubspot
Marketing Automation
Amazon AWS
Hosting
Android
Frameworks and Programming Languages
Apache
Load Balancers
Gmail
Email Providers
Google Apps
Other
Google Font API
Fonts
Mobile Friendly
Other
Nginx
Load Balancers
Remote
Other
Render
Other
Vimeo
Online Video Platforms
WordPress.org
CMS",http://www.041agency.com/,http://www.linkedin.com/company/041agency,https://www.facebook.com/041DigitalAgency,https://twitter.com/041agency
